"date","high","low","open","close","volume","quoteVolume","weightedAverage"
1439013600,1.85,1.61,1.65,1.85,90.024655,53.0404,1.69728608
1439015400,1.85,1.71,1.85,1.71,20.686119,12.0898,1.71103981
1439017200,1.85,0.50000021,1.75,1.85,33.717419,18.8862,1.78529045
1439019000,1.85,1.85,1.85,1.85,0,0,1.85
1439020800,1.85,1.85,1.85,1.85,0,0,1.85
1439022600,1.7,1.5,1.7,1.5,0.32,0.2,1.6
1439024400,1.5,1.5,1.5,1.5,0,0,1.5
1439026200,1.5,1.5,1.5,1.5,0,0,1.5
1439028000,1.5,1.5,1.5,1.5,0,0,1.5
1439029800,1.45,1.40000001,1.45,1.40000001,129.255776,92.3231,1.40003792
1439031600,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439033400,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439035200,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439037000,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439038800,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439040600,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439042400,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439044200,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439046000,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439047800,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439049600,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439051400,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439053200,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439055000,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439056800,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439058600,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439060400,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439062200,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439064000,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439065800,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439067600,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439069400,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439071200,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439073000,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439074800,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439076600,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439078400,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439080200,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
1439082000,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001
