"date","high","low","open","close","volume","quoteVolume","weightedAverage"
1475605800,2,0.12245,2,0.12245,5.386014,38.7095,0.13913946
1475607600,0.12245,0.018,0.12245,0.0238,371.79176,15484.8141,0.02401008
1475609400,0.0242,0.01644,0.0238,0.0173346,1016.316667,54342.8361,0.01870194
1475611200,0.0174,0.014339,0.01738,0.0157515,885.330368,55696.1846,0.0158957
1475613000,0.01629,0.0147,0.0157515,0.01569999,309.654413,19851.62,0.01559844
1475614800,0.01697,0.0152,0.01569999,0.0155,440.532851,27226.2179,0.01618046
1475616600,0.016,0.01496013,0.0155,0.01515,406.700546,26578.4511,0.01530189
1475618400,0.0153,0.01455375,0.01511001,0.01495082,388.878971,26072.4254,0.01491533
1475620200,0.0151,0.01348011,0.01490015,0.013532,642.462192,45638.473,0.0140772
1475622000,0.01386883,0.01323,0.01386883,0.01355678,400.921817,29803.0492,0.01345237
1475623800,0.014,0.0126,0.01355678,0.01281105,572.403644,42591.2312,0.01343947
1475625600,0.01364989,0.012511,0.01298578,0.0133991,361.649526,27482.1885,0.01315941
1475627400,0.01367288,0.01292007,0.013302,0.013621,116.307933,8760.7103,0.01327608
1475629200,0.01411099,0.01363002,0.01367285,0.01411088,211.145193,15196.7749,0.01389407
1475631000,0.0149,0.01390097,0.01411066,0.0149,494.86844,33857.6827,0.01461613
1475632800,0.01489977,0.01442379,0.01480125,0.01444224,139.575849,9552.594,0.0146113
1475634600,0.01459999,0.014,0.01444224,0.01459763,157.361414,11015.1285,0.01428593
1475636400,0.01459,0.01409364,0.01459,0.01427419,89.29474,6218.7849,0.01435887
1475638200,0.0145,0.01410103,0.01419987,0.01441605,162.718016,11303.4251,0.01439546
1475640000,0.0146,0.01439001,0.01449565,0.01454989,124.58471,8598.2737,0.0144895
1475641800,0.01599001,0.01452398,0.01453,0.01577005,596.298336,38912.9314,0.01532391
1475643600,0.01598901,0.01513377,0.0157385,0.01580008,252.158347,16268.0313,0.01550023
1475645400,0.0182,0.0158103,0.0159889,0.0178,876.591366,51501.7106,0.01702062
1475647200,0.01783,0.01645002,0.0178,0.01671648,526.835883,30842.5907,0.01708144
1475649000,0.01738991,0.01625,0.01686898,0.01686395,322.401931,19209.0826,0.01678382
1475650800,0.0176,0.01686385,0.01686395,0.0174,283.523147,16446.9551,0.01723864
1475652600,0.01755,0.0162,0.01727021,0.0167,390.969251,23259.8552,0.01680875
1475654400,0.01673988,0.0159,0.01669998,0.01623021,347.409621,21384.5169,0.01624584
1475656200,0.01599991,0.0147,0.01592051,0.01577,845.376966,55165.385,0.0153244
1475658000,0.0162,0.01539602,0.01575,0.01606999,246.744288,15600.5948,0.01581633
1475659800,0.01649899,0.0156,0.01603001,0.01609969,361.712806,22466.2054,0.0161003
1475661600,0.01619021,0.0157214,0.016,0.01619021,70.659952,4424.8957,0.01596872
1475663400,0.0163,0.01518922,0.01619021,0.01567996,404.856435,25854.6719,0.01565892
1475665200,0.016,0.01524922,0.01567996,0.01584982,197.783478,12613.7748,0.01567995
